step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
402,PAYMENT,3646.13,C388544972,20532.0,16885.87,M160288501,0.0,0.0,0,0
715,CASH_OUT,150708.06,C1172797450,2562.0,0.0,C434060534,544897.92,695605.98,0,0
383,PAYMENT,9738.36,C944342245,0.0,0.0,M1240838729,0.0,0.0,0,0
540,PAYMENT,1533.54,C1474765044,49852.0,48318.46,M1365306187,0.0,0.0,0,0
203,PAYMENT,27865.8,C1628165387,0.0,0.0,M66521494,0.0,0.0,0,0
38,CASH_OUT,167360.78,C1872616790,1068.0,0.0,C664039207,212447.99,379808.77,0,0
158,CASH_IN,107215.32,C362787221,22245.0,129460.32,C1165956382,525649.62,418434.31,0,0
140,CASH_OUT,330068.04,C1127051954,0.0,0.0,C1821144564,401970.07,732038.11,0,0
160,CASH_IN,119316.31,C246488804,16911.0,136227.31,C1198399182,0.0,0.0,0,0
396,CASH_OUT,207214.78,C1999596913,544.0,0.0,C1842319261,0.0,207214.78,0,0
324,CASH_OUT,249887.73,C918505542,20526.0,0.0,C1991552330,0.0,249887.73,0,0
277,CASH_IN,152212.58,C1602688638,278563.14,430775.72,C1129740091,4204585.56,4052372.98,0,0
210,CASH_OUT,121538.98,C1326863679,105412.83,0.0,C772406271,14083681.74,14205220.73,0,0
158,PAYMENT,3187.23,C886970130,545516.54,542329.31,M1255487419,0.0,0.0,0,0
348,CASH_OUT,107122.36,C1966834806,0.0,0.0,C1457221127,202633.18,309755.55,0,0
426,PAYMENT,4870.42,C1560678539,32211.25,27340.83,M1046190069,0.0,0.0,0,0
236,CASH_OUT,501775.67,C953867906,0.0,0.0,C2137301525,1383372.53,1885148.2,0,0
235,PAYMENT,5550.4,C465570153,31560.0,26009.6,M206149102,0.0,0.0,0,0
184,PAYMENT,5469.37,C618261915,78147.98,72678.61,M862171741,0.0,0.0,0,0
37,CASH_OUT,248673.75,C212684453,771480.06,522806.31,C1066179157,1650032.59,1898706.34,0,0
40,PAYMENT,8121.1,C928479051,49560.0,41438.9,M1095118661,0.0,0.0,0,0
19,CASH_IN,570796.86,C1738260128,1185987.67,1756784.53,C1453145653,778725.35,244102.29,0,0
169,PAYMENT,9157.59,C1939453636,122303.0,113145.41,M219874279,0.0,0.0,0,0
15,TRANSFER,1018732.75,C351249612,0.0,0.0,C1048787487,1946426.01,2965158.76,0,0
285,CASH_IN,29971.74,C1466010094,3381197.85,3411169.58,C1844362038,2177014.11,2147042.37,0,0
331,CASH_OUT,187465.58,C1312691613,61920.0,0.0,C779536374,136457.31,323922.89,0,0
298,CASH_OUT,48871.05,C1833464992,0.0,0.0,C1131824874,59321.28,108192.34,0,0
